"","Name","dayOfWeek","accessibility","Area_Type","Managed","HumanMobilePercent","activityDensityLog","IQRLogActivity","TrailActivityPercent"
"1","Administration","weekday","closed","Other","Non-Managed Land",99.88,1222.09,1.9,NA
"2","Administration","weekday","open","Other","Non-Managed Land",99.88,2055.83,1.21,NA
"3","Administration","weekend","closed","Other","Non-Managed Land",99.88,779.61,0.92,NA
"4","Administration","weekend","open","Other","Non-Managed Land",99.88,2255.03,1.46,NA
"5","Albert","weekday","closed","Reserve Area","Non-Managed Land",16.26,-5.95,5.88,NA
"6","Albert","weekday","open","Reserve Area","Non-Managed Land",16.26,85.57,1.51,NA
"7","Albert","weekend","closed","Reserve Area","Non-Managed Land",16.26,16.29,0,NA
"8","Albert","weekend","open","Reserve Area","Non-Managed Land",16.26,88.23,2.41,NA
"9","Andrusyshyn","weekday","closed","Reserve Area","Non-Managed Land",54.62,26,6.78,NA
"10","Andrusyshyn","weekday","open","Reserve Area","Non-Managed Land",54.62,-206.27,10.67,NA
"11","Andrusyshyn","weekend","closed","Reserve Area","Non-Managed Land",54.62,283.06,1.96,NA
"12","Andrusyshyn","weekend","open","Reserve Area","Non-Managed Land",54.62,573.6,1.28,NA
"13","Bronte Gorge","weekday","closed","Natural Area","Non-Managed Land",25.72,78.75,0.76,NA
"14","Bronte Gorge","weekday","open","Natural Area","Non-Managed Land",25.72,147.39,1.76,NA
"15","Bronte Gorge","weekend","closed","Natural Area","Non-Managed Land",25.72,14.25,0,NA
"16","Bronte Gorge","weekend","open","Natural Area","Non-Managed Land",25.72,92.03,0.5,NA
"17","Burlington Beach","weekday","closed","Conservation Area","Non-Managed Land",6.58,56.74,3.55,NA
"18","Burlington Beach","weekday","open","Conservation Area","Non-Managed Land",6.58,445.99,1.21,NA
"19","Burlington Beach","weekend","closed","Conservation Area","Non-Managed Land",6.58,173.79,1.34,NA
"20","Burlington Beach","weekend","open","Conservation Area","Non-Managed Land",6.58,627.74,1.25,NA
